file,relative,table_name,columns
data\Tanger\LAR-MCO\Etat Porte.csv,Tanger\LAR-MCO\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-MCO\P.Active CLIM.csv,Tanger\LAR-MCO\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\LAR-MCO\P.Active Générale.csv,Tanger\LAR-MCO\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\LAR-MCO\Température Ambiante.csv,Tanger\LAR-MCO\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-MCO\Température Extérieure.csv,Tanger\LAR-MCO\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-ONE\Etat CLIM A.csv,Tanger\LAR-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-ONE\Etat CLIM B.csv,Tanger\LAR-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-ONE\Etat CLIM C.csv,Tanger\LAR-ONE\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-ONE\Etat CLIM D.csv,Tanger\LAR-ONE\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-ONE\Etat Porte.csv,Tanger\LAR-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-ONE\P.Active CLIM.csv,Tanger\LAR-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\LAR-ONE\P.Active Générale.csv,Tanger\LAR-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\LAR-ONE\Température Ambiante.csv,Tanger\LAR-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-ONE\Température Extérieure.csv,Tanger\LAR-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Tanger\MEL-ONE\Etat CLIM A.csv,Tanger\MEL-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Tanger\MEL-ONE\Etat CLIM B.csv,Tanger\MEL-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Tanger\MEL-ONE\Etat Porte.csv,Tanger\MEL-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Tanger\MEL-ONE\P.Active CLIM.csv,Tanger\MEL-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\MEL-ONE\P.Active Générale.csv,Tanger\MEL-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\MEL-ONE\Température Ambiante.csv,Tanger\MEL-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
